Associated Gene Name	Description	Gene Biotype	NA
CGB2	chorionic gonadotropin, beta polypeptide 2	protein_coding	114336
RP5-968D22.1		lincRNA	NA
UBE2S	ubiquitin-conjugating enzyme E2S	protein_coding	27338
SHISA7	shisa homolog 7 (Xenopus laevis)	protein_coding	729956
TDO2	Tryptophan 2,3-dioxygenase	protein_coding	6999
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding	114335
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding	114335
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding	114335
CGB1	chorionic gonadotropin, beta polypeptide 1	protein_coding	114335
ISOC2	isochorismatase domain containing 2	protein_coding	79763
RP1-10C16.2		lincRNA	NA
AL603926.1	Zinc finger protein 84	protein_coding	NA
AL603926.3	Zinc finger protein 26	protein_coding	NA
CTSO	Cathepsin O	protein_coding	1519
ZNF628	zinc finger protein 628	protein_coding	89887
PRSS1	protease, serine, 1 (trypsin 1)	protein_coding	5644
IQSEC3	IQ motif and Sec7 domain 3	protein_coding	440073
ATP9B	probable phospholipid-transporting ATPase IIB	protein_coding	374868
PRSS2	protease, serine, 2 (trypsin 2)	protein_coding	5645
RP11-598F7.1		lincRNA	NA
RP11-598F7.1		lincRNA	NA
RP11-598F7.1		lincRNA	NA
RP11-598F7.1		lincRNA	NA
RP11-598F7.1		lincRNA	NA
RP11-598F7.4		antisense	NA
TAS2R7	taste receptor, type 2, member 7	protein_coding	50837
TAS2R8	taste receptor, type 2, member 8	protein_coding	50836
TAS2R9	taste receptor, type 2, member 9	protein_coding	50835
PRR4	proline rich 4 (lacrimal)	protein_coding	11272
PRR4	proline rich 4 (lacrimal)	protein_coding	11272
CGB5	chorionic gonadotropin, beta polypeptide 5	protein_coding	93659
CGB5	chorionic gonadotropin, beta polypeptide 5	protein_coding	93659
CGB5	chorionic gonadotropin, beta polypeptide 5	protein_coding	93659
CGB7	chorionic gonadotropin, beta polypeptide 7	protein_coding	94027
NTF4	neurotrophin 4	protein_coding	4909
KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	protein_coding	3743
SNRNP70	small nuclear ribonucleoprotein 70kDa (U1)	protein_coding	6625
RP3-395M20.8		lincRNA	NA
RP1-163G9.1		processed_transcript	NA
LIN7B	lin-7 homolog B (C. elegans)	protein_coding	64130
TP73-AS1	TP73 antisense RNA 1 (non-protein coding)	lincRNA	57212
RP13-15E13.1		lincRNA	NA
RP13-614K11.1		lincRNA	NA
C19orf73	chromosome 19 open reading frame 73	protein_coding	55150
PPFIA3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	protein_coding	8541
RP5-1166F10.1		lincRNA	NA
HRC	histidine rich calcium binding protein	protein_coding	3270
TRPM4	transient receptor potential cation channel, subfamily M, member 4	protein_coding	54795
SLC6A16	solute carrier family 6, member 16	protein_coding	28968
CD37	CD37 molecule	protein_coding	951
ENO1-AS1	ENO1 antisense RNA 1 (non-protein coding)	antisense	100505975
TEAD2	TEA domain family member 2	protein_coding	8463
DKKL1	dickkopf-like 1	protein_coding	27120
CCDC155	coiled-coil domain containing 155	protein_coding	147872
PTH2	parathyroid hormone 2	protein_coding	113091
CTD-3148I10.1	uncharacterized protein LOC100507003 precursor	protein_coding	NA
SLC17A7	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	protein_coding	57030
PIH1D1	PIH1 domain containing 1	protein_coding	55011
ALDH16A1	aldehyde dehydrogenase 16 family, member A1	protein_coding	126133
NPPA-AS1	NPPA antisense RNA 1 (non-protein coding)	antisense	100379251
FLT3LG	fms-related tyrosine kinase 3 ligand	protein_coding	2323
RPL13A	ribosomal protein L13a	protein_coding	23521
RPL13A	ribosomal protein L13a	protein_coding	23521
RPL13A	ribosomal protein L13a	protein_coding	23521
RPL13A	ribosomal protein L13a	protein_coding	23521
RPL13A	ribosomal protein L13a	protein_coding	23521
RPS11	ribosomal protein S11	protein_coding	6205
FCGRT	Fc fragment of IgG, receptor, transporter, alpha	protein_coding	2217
RCN3	reticulocalbin 3, EF-hand calcium binding domain	protein_coding	57333
NOSIP	nitric oxide synthase interacting protein	protein_coding	51070
PRRG2	proline rich Gla (G-carboxyglutamic acid) 2	protein_coding	5639
PRR12	proline rich 12	protein_coding	57479
RRAS	related RAS viral (r-ras) oncogene homolog	protein_coding	6237
RP11-169K16.9		lincRNA	NA
SCAF1	SR-related CTD-associated factor 1	protein_coding	58506
IRF3	interferon regulatory factor 3	protein_coding	3661
BCL2L12	BCL2-like 12 (proline rich)	protein_coding	83596
CROCCP3	ciliary rootlet coiled-coil, rootletin pseudogene 3	pseudogene	114819
PRMT1	protein arginine methyltransferase 1	protein_coding	3276
ZNF321P	zinc finger protein 321, pseudogene	protein_coding	399669
ZNF160	zinc finger protein 160	protein_coding	90338
ZNF415	zinc finger protein 415	protein_coding	55786
NAT14	N-acetyltransferase 14 (GCN5-related, putative)	protein_coding	57106
SSC5D	scavenger receptor cysteine rich domain containing (5 domains)	protein_coding	284297
SBK2	SH3-binding domain kinase family, member 2	protein_coding	646643
AC008735.15	putative uncharacterized serine/threonine-protein kinase SgK110	protein_coding	NA
RP11-297H3.4		lincRNA	NA
ZNF579	zinc finger protein 579	protein_coding	163033
FIZ1	FLT3-interacting zinc finger 1	protein_coding	84922
ZNF524	zinc finger protein 524	protein_coding	147807
ZNF865	zinc finger protein 865	protein_coding	100507290
ZNF784	zinc finger protein 784	protein_coding	147808
ZNF580	zinc finger protein 580	protein_coding	51157
ZNF581	zinc finger protein 581	protein_coding	51545
CCDC106	coiled-coil domain containing 106	protein_coding	29903
U2AF2	U2 small nuclear RNA auxiliary factor 2	protein_coding	11338
TOP1P1	topoisomerase (DNA) I pseudogene 1	pseudogene	7151
EPN1	epsin 1	protein_coding	29924
NLRP9	NLR family, pyrin domain containing 9	protein_coding	338321
RFPL4A	ret finger protein-like 4A	protein_coding	342931
COBLL1	COBL-like 1	protein_coding	22837
DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11	protein_coding	55735
ZNF347	zinc finger protein 347	protein_coding	84671
RP11-540A21.2		lincRNA	NA
RP11-540A21.3		lincRNA	NA
RP11-486A14.2		antisense	NA
RP11-887P2.1		lincRNA	NA
RP11-685M7.5		antisense	NA
CTD-2003C8.1		lincRNA	NA
KRT19P2	keratin 19 pseudogene 2	pseudogene	160313
KRT19P2	keratin 19 pseudogene 2	pseudogene	160313
CAMTA1	calmodulin binding transcription activator 1	protein_coding	23261
SLC38A11	solute carrier family 38, member 11	protein_coding	151258
CTC-497E21.4		lincRNA	NA
DNAJC19	DnaJ (Hsp40) homolog, subfamily C, member 19	protein_coding	131118
SCN3A	sodium channel, voltage-gated, type III, alpha subunit	protein_coding	6328
RMST	rhabdomyosarcoma 2 associated transcript (non-protein coding)	lincRNA	196475
SOX2	SRY (sex determining region Y)-box 2	protein_coding	6657
VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	protein_coding	9341
ATP11B	ATPase, class VI, type 11B	protein_coding	23200
PER3	period homolog 3 (Drosophila)	protein_coding	8863
SLC9A7P1	solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7 pseudogene 1	pseudogene	121456
RP11-181C3.2		lincRNA	NA
SAA3P	serum amyloid A3 pseudogene	pseudogene	6290
UTS2	urotensin 2	protein_coding	10911
SCN2A	sodium channel, voltage-gated, type II, alpha subunit	protein_coding	6326
DCUN1D1	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	protein_coding	54165
TNFRSF9	tumor necrosis factor receptor superfamily, member 9	protein_coding	3604
PARK7	parkinson protein 7	protein_coding	11315
RP11-504G3.1		lincRNA	NA
MCCC1	methylcrotonoyl-CoA carboxylase 1 (alpha)	protein_coding	56922
CSRNP3	cysteine-serine-rich nuclear protein 3	protein_coding	80034
ERRFI1	ERBB receptor feedback inhibitor 1	protein_coding	54206
NAV2-AS4	NAV2 antisense RNA 4 (non-protein coding)	antisense	399876
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	protein_coding	2591
SLC45A1	solute carrier family 45, member 1	protein_coding	50651
RP11-642P15.1		pseudogene	NA
RERE	arginine-glutamic acid dipeptide (RE) repeats	protein_coding	473
TTC21B	tetratricopeptide repeat domain 21B	protein_coding	79809
LAMP3	lysosomal-associated membrane protein 3	protein_coding	27074
RP11-482D24.2		processed_transcript	NA
MCF2L2	MCF.2 cell line derived transforming sequence-like 2	protein_coding	23101
SCN1A	sodium channel, voltage-gated, type I, alpha subunit	protein_coding	6323
ENO1	enolase 1, (alpha)	protein_coding	2023
BDNF-AS1	BDNF antisense RNA 1 (non-protein coding)	lincRNA	NA
RP11-117B7.1		antisense	NA
MGC14436		antisense	NA
MIR4454	microRNA 4454	lincRNA	100616234
SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	protein_coding	6335
RP1-46F2.2		lincRNA	NA
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	protein_coding	84002
CA6	carbonic anhydrase VI	protein_coding	765
C12orf47	chromosome 12 open reading frame 47	lincRNA	NA
SCN7A	sodium channel, voltage-gated, type VII, alpha subunit	protein_coding	6332
ZNF665	zinc finger protein 665	protein_coding	79788
KLHL6	kelch-like 6 (Drosophila)	protein_coding	89857
ZNF677	zinc finger protein 677	protein_coding	342926
VN1R2	vomeronasal 1 receptor 2	protein_coding	317701
VN1R4	vomeronasal 1 receptor 4	protein_coding	317703
ADAM1	ADAM metallopeptidase domain 1, pseudogene	pseudogene	8759
UOX	urate oxidase, pseudogene	pseudogene	391051
SLC2A7	solute carrier family 2 (facilitated glucose transporter), member 7	protein_coding	155184
BIRC8	baculoviral IAP repeat containing 8	protein_coding	112401
ZNF845	zinc finger protein 845	protein_coding	91664
SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	protein_coding	6518
ZNF765	zinc finger protein 765	protein_coding	91661
KLHL24	kelch-like 24 (Drosophila)	protein_coding	54800
ZNF813	zinc finger protein 813	protein_coding	126017
ZNF331	zinc finger protein 331	protein_coding	55422
XIRP2	xin actin-binding repeat containing 2	protein_coding	129446
WT1-AS	WT1 antisense RNA (non-protein coding)	antisense	51352
CLCA3P	chloride channel accessory 3, pseudogene	pseudogene	9629
RP4-544H6.2		lincRNA	NA
RP11-348A11.4		non_coding	NA
RP11-385N17.1		antisense	NA
GBP1P1	guanylate binding protein 1, interferon-inducible pseudogene 1	pseudogene	400759
YEATS2	YEATS domain containing 2	protein_coding	55689
RP5-1007M22.2		antisense	NA
DPRX	divergent-paired related homeobox	protein_coding	503834
NLRP12	NLR family, pyrin domain containing 12	protein_coding	91662
GPR157	G protein-coupled receptor 157	protein_coding	80045
H6PD	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	protein_coding	9563
GEMIN8P4	gem (nuclear organelle) associated protein 8 pseudogene 4	pseudogene	492303
B3GALT1	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1	protein_coding	8708
STK39	serine threonine kinase 39	protein_coding	27347
CROCCP2	ciliary rootlet coiled-coil, rootletin pseudogene 2	lincRNA	84809
HSP90B3P	heat shock protein 90kDa beta (Grp94), member 3, pseudogene	pseudogene	343477
MYADM	myeloid-associated differentiation marker	protein_coding	91663
RP1-163M9.6		pseudogene	NA
SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	protein_coding	80176
CPT1C	carnitine palmitoyltransferase 1C	protein_coding	126129
SLC25A33	solute carrier family 25, member 33	protein_coding	84275
RP4-717I23.3		processed_transcript	NA
MAP6D1	MAP6 domain containing 1	protein_coding	79929
ESPNP	espin pseudogene	pseudogene	284729
TMEM201	transmembrane protein 201	protein_coding	199953
PRKCG	protein kinase C, gamma	protein_coding	5582
TSKS	testis-specific serine kinase substrate	protein_coding	60385
AP2A1	adaptor-related protein complex 2, alpha 1 subunit	protein_coding	160
PARL	presenilin associated, rhomboid-like	protein_coding	55486
RP5-1033H22.2		antisense	NA
CACNG7	calcium channel, voltage-dependent, gamma subunit 7	protein_coding	59284
CACNG8	calcium channel, voltage-dependent, gamma subunit 8	protein_coding	59283
FUZ	fuzzy homolog (Drosophila)	protein_coding	80199
CACNG6	calcium channel, voltage-dependent, gamma subunit 6	protein_coding	59285
CERS6	ceramide synthase 6	protein_coding	253782
VSTM1	V-set and transmembrane domain containing 1	protein_coding	284415
RP4-749H3.1		lincRNA	NA
PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide	protein_coding	5293
RP4-639F20.1		antisense	NA
TARM1	T cell-interacting, activating receptor on myeloid cells 1	protein_coding	441864
RP5-1071N3.1		antisense	NA
OSCAR	osteoclast associated, immunoglobulin-like receptor	protein_coding	126014
MED25	mediator complex subunit 25	protein_coding	81857
RP4-617C6.1		lincRNA	NA
NOSTRIN	nitric oxide synthase trafficker	protein_coding	115677
NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	protein_coding	4696
RP5-886K2.3		antisense	NA
MIR137HG	MIR137 host gene (non-protein coding)	lincRNA	400765
RP11-10N16.2		lincRNA	NA
MIR2682	microRNA 2682	pseudogene	100616452
RP5-896L10.1		processed_transcript	NA
TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)	protein_coding	29844
PTOV1	prostate tumor overexpressed 1	protein_coding	53635
PNKP	polynucleotide kinase 3'-phosphatase	protein_coding	11284
PRPF31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)	protein_coding	26121
AKT1S1	AKT1 substrate 1 (proline-rich)	protein_coding	84335
RP11-84O12.4		lincRNA	NA
DNAJA1P5	DnaJ (Hsp40) homolog, subfamily A, member 1 pseudogene 5	pseudogene	94236
CNOT3	CCR4-NOT transcription complex, subunit 3	protein_coding	4849
RP11-364B6.1		processed_transcript	NA
LENG1	leukocyte receptor cluster (LRC) member 1	protein_coding	79165
TMC4	transmembrane channel-like 4	protein_coding	147798
RP11-475E11.5		antisense	NA
MBOAT7	membrane bound O-acyltransferase domain containing 7	protein_coding	79143
RP5-1074L1.1		lincRNA	NA
CYMP	chymosin pseudogene	pseudogene	643160
TSEN34	tRNA splicing endonuclease 34 homolog (S. cerevisiae)	protein_coding	79042
RP11-165H20.1		pseudogene	149620
RPS9	ribosomal protein S9	protein_coding	6203
PGCP1	progastricsin (pepsinogen C) pseudogene 1	pseudogene	441897
RP5-836N10.1		lincRNA	NA
RP4-773A18.4		lincRNA	NA
LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	protein_coding	11025
AKR7A2P1	aldo-keto reductase family 7, member A2 pseudogene 1	pseudogene	246182
LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	protein_coding	79168
RP5-1073O3.5		lincRNA	NA
LILRB5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	protein_coding	10990
LILRB2	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	protein_coding	10288
HSD3BP4	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4	pseudogene	128102
LILRA3	leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3	protein_coding	11026
RP4-599G15.7		sense_overlapping	NA
LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	protein_coding	353514
HIST2H2BA	histone cluster 2, H2ba (pseudogene)	processed_transcript	337875
LILRA4	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4	protein_coding	23547
LAIR1	leukocyte-associated immunoglobulin-like receptor 1	protein_coding	3903
TTYH1	tweety homolog 1 (Drosophila)	protein_coding	57348
LENG8	leukocyte receptor cluster (LRC) member 8	protein_coding	114823
BX284650.2		processed_transcript	NA
SRGAP2P2	SLIT-ROBO Rho GTPase activating protein 2 pseudogene 2	pseudogene	NA
BX248398.1		lincRNA	NA
LENG9	leukocyte receptor cluster (LRC) member 9	protein_coding	94059
CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5	protein_coding	148170
LAIR2	leukocyte-associated immunoglobulin-like receptor 2	protein_coding	3904
AL592284.1		antisense	NA
NLRP11	NLR family, pyrin domain containing 11	protein_coding	204801
LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	protein_coding	11027
NLRP4	NLR family, pyrin domain containing 4	protein_coding	147945
RP5-1198E17.1		lincRNA	NA
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
GAS5	growth arrest-specific 5 (non-protein coding)	non_coding	60674
NLRP13	NLR family, pyrin domain containing 13	protein_coding	126204
LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	protein_coding	10859
NLRP8	NLR family, pyrin domain containing 8	protein_coding	126205
NLRP5	NLR family, pyrin domain containing 5	protein_coding	126206
ZNF787	zinc finger protein 787	protein_coding	126208
ZNF444	zinc finger protein 444	protein_coding	55311
GALP	galanin-like peptide	protein_coding	85569
ZSCAN5B	zinc finger and SCAN domain containing 5B	protein_coding	342933
ZSCAN5A	zinc finger and SCAN domain containing 5A	protein_coding	79149
ZNF582	zinc finger protein 582	protein_coding	147948
ZNF583	zinc finger protein 583	protein_coding	147949
ZNF667	zinc finger protein 667	protein_coding	63934
ZNF471	zinc finger protein 471	protein_coding	57573
ZFP28	zinc finger protein 28 homolog (mouse)	protein_coding	140612
ZNF470	zinc finger protein 470	protein_coding	388566
ZNF71	zinc finger protein 71	protein_coding	58491
AC007228.1	uncharacterized protein LOC147670	protein_coding	NA
